Region,Province,Municipality/City,Poverty Incidence,Standard Error (SE),Coefficient of Variation (CV)
Region III,Tarlac,Tarlac City,8.7,0.8,9.5
Region III,Tarlac,Victoria,20.2,2.7,13.3
Region III,Tarlac,San Jose,32.1,3.9,12.1
Region III,Zambales,Botolan,17.4,2.4,14.0
Region III,Zambales,Cabanglan,21.2,2.7,12.5
Region III,Zambales,Candelabra,18.2,2.9,16.1
Region III,Zambales,Castillejos,12.5,2.6,21.1
Region III,Zambales,Iba,12.5,2.8,22.2
Region III,Zambales,Masinloc,18.2,3.4,18.4
Region III,Zambales,Olongapo City,4.5,1.6,35.1
Region III,Zambales,Paluig,21.3,2.7,12.7
Region III,Zambales,San Antonio,12.0,2.1,17.8
Region III,Zambales,San Felipe,14.5,3.7,25.4
Region III,Zambales,San Marcelino,14.8,2.0,13.5
Region III,Zambales,San Narciso,10.7,2.1,19.4
Region III,Zambales,Santa Cruz,18.7,2.7,14.3
Region III,Zambales,Subic,11.5,2.5,21.8
Region III,Aurora,Baler,9.6,2.2,23.4
Region III,Aurora,Casiguran,19.7,3.5,17.5
Region III,Aurora,Dilasag,19.2,3.9,20.4
Region III,Aurora,Dinalungan,25.6,4.9,19.2
Region III,Aurora,Dingalan,14.5,4.2,28.8
Region III,Aurora,Dipaculao,17.9,3.1,17.3
Region III,Aurora,Maria Aurora,13.2,2.0,15.4
Region III,Aurora,San Luis,13.8,3.1,22.0
Region IV-A,Batangas,Agoncillo,15.4,1.9,12.1
Region IV-A,Batangas,Alitagtag,8.6,1.5,17.0
Region IV-A,Batangas,Balayan,14.1,1.3,9.0
Region IV-A,Batangas,Balete,17.2,2.8,16.2
Region IV-A,Batangas,Batangas City,7.1,0.7,9.7
Region IV-A,Batangas,Bauan,2.7,0.7,24.4
Region IV-A,Batangas,Calaca,17.8,1.7,9.4
Region IV-A,Batangas,Calatagan,21.9,2.4,10.8
Region IV-A,Batangas,Cuenca,9.9,1.6,16.5
Region IV-A,Batangas,Ibaan,12.1,1.8,15.0
Region IV-A,Batangas,Laurel,21.8,2.5,11.3
Region IV-A,Batangas,Lemery,14.3,1.3,8.9
Region IV-A,Batangas,Lian,16.5,2.4,14.7
Region IV-A,Batangas,Lipa City,3.9,0.6,16.3
Region IV-A,Batangas,Lobo,19.1,2.1,10.7
Region IV-A,Batangas,Mabini,11.7,1.5,12.9
Region IV-A,Batangas,Malvar,6.5,1.5,22.2
Region IV-A,Batangas,Mataas Na Kahoy,9.8,2.0,20.1
Region IV-A,Batangas,Nasugbu,17.3,2.0,11.3
Region IV-A,Batangas,Padre Garcia,16.5,2.5,15.4
Region IV-A,Batangas,Rosario,16.8,1.4,8.1
Region IV-A,Batangas,San Jose,11.2,1.7,15.3
Region IV-A,Batangas,San Juan,15.4,1.7,11.0
Region IV-A,Batangas,San Luis,9.5,1.6,17.1
Region IV-A,Batangas,San Nicolas,5.3,1.5,27.5
Region IV-A,Batangas,San Pascual,5.8,1.2,20.1
Region IV-A,Batangas,Santa Teresita,9.4,2.0,20.8
Region IV-A,Batangas,Santo Tomas,8.6,1.4,16.3
